Date,10year,5year,1year
29/08/2014,8.22,7.99,7.13
31/08/2014,8.22,7.99,7.57
01/09/2014,8.17,7.97,7.12
02/09/2014,8.19,8,7.13
03/09/2014,8.1,7.95,7.13
04/09/2014,8.04,7.89,6.96
05/09/2014,7.98,7.85,6.97
08/09/2014,7.96,7.82,7.05
09/09/2014,8.04,7.85,6.79
10/09/2014,8.12,7.9,6.91
11/09/2014,8.16,7.9,6.91
12/09/2014,8.17,7.92,7
13/09/2014,8.17,7.92,7
15/09/2014,8.26,7.97,7.03
16/09/2014,8.3,8.05,7.09
17/09/2014,8.28,8.05,7.13
18/09/2014,8.28,8.06,7.11
19/09/2014,8.19,8.04,7.13
22/09/2014,8.18,8.02,6.65
23/09/2014,8.19,8.06,7.27
24/09/2014,8.17,8.06,7.07
25/09/2014,8.16,8.04,7.03
26/09/2014,8.22,8.07,7.11
27/09/2014,8.26,8.08,7.11
29/09/2014,8.44,8.26,7.35
30/09/2014,8.4,8.2,7.43
01/10/2014,8.51,8.29,7.65
02/10/2014,8.41,8.24,7.67
03/10/2014,8.46,8.26,7.57
06/10/2014,8.45,8.25,7.87
07/10/2014,8.47,8.27,7.7
08/10/2014,8.47,8.26,7.67
09/10/2014,8.46,8.24,7.6
10/10/2014,8.37,8.17,7.56
13/10/2014,8.38,8.16,7.52
14/10/2014,8.33,8.16,7.54
15/10/2014,8.24,8.09,7.52
16/10/2014,8.29,8.13,7.52
17/10/2014,8.33,8.14,7.52
20/10/2014,8.07,8.01,7.54
21/10/2014,8.02,7.95,7.28
22/10/2014,8.03,7.93,7.52
23/10/2014,8.03,7.93,7.55
24/10/2014,8.01,7.89,7.43
27/10/2014,8.02,7.88,7.38
28/10/2014,8.06,7.87,7.36
29/10/2014,8.11,7.89,7.43
30/10/2014,8.11,7.91,7.44
31/10/2014,8.05,7.86,7.33
03/11/2014,8,7.84,7.35
04/11/2014,7.95,7.8,7.34
05/11/2014,7.93,7.79,7.31
06/11/2014,7.98,7.84,7.35
07/11/2014,8,7.86,7.31
10/11/2014,8.01,7.87,7.23
11/11/2014,7.99,7.85,7.26
12/11/2014,7.99,7.87,7.34
13/11/2014,7.98,7.87,7.31
14/11/2014,7.94,7.85,7.34
16/11/2014,7.94,7.85,7.34
17/11/2014,7.91,7.82,7.26
18/11/2014,7.9,7.81,7.31
19/11/2014,7.9,7.78,7.33
20/11/2014,7.85,7.73,7.26
21/11/2014,7.81,7.67,7.22
24/11/2014,7.76,7.62,7.1
25/11/2014,7.73,7.65,7.16
26/11/2014,7.72,7.65,7.22
27/11/2014,7.7,7.62,7.2
28/11/2014,7.7,7.63,7.21
30/11/2014,7.7,7.63,7.21
01/12/2014,7.68,7.62,7.22
02/12/2014,7.7,7.62,7.22
03/12/2014,7.8,7.65,7.22
04/12/2014,7.89,7.67,7.2
05/12/2014,7.85,7.67,7.21
08/12/2014,7.86,7.67,7.23
09/12/2014,7.96,7.74,7.26
10/12/2014,7.98,7.77,7.31
11/12/2014,8.02,7.83,7.3
12/12/2014,8.09,7.87,7.35
14/12/2014,8.09,7.87,7.35
15/12/2014,8.31,8.09,7.46
16/12/2014,8.43,8.19,7.69
17/12/2014,8.37,8.19,7.68
18/12/2014,8.15,8.09,7.67
19/12/2014,8.1,7.98,7.36
22/12/2014,8.03,7.94,7.52
23/12/2014,7.91,7.87,7.43
24/12/2014,7.87,7.81,7.43
28/12/2014,7.87,7.81,7.43
29/12/2014,7.88,7.8,7.4
30/12/2014,7.85,7.79,7.39
31/12/2014,7.79,7.7,7.39
02/01/2015,7.81,7.64,7.58
05/01/2015,7.92,7.73,7.31
06/01/2015,7.98,7.75,7.35
07/01/2015,7.93,7.65,7.35
08/01/2015,7.82,7.58,7.28
09/01/2015,7.74,7.54,7.17
12/01/2015,7.7,7.45,7.16
13/01/2015,7.72,7.44,7.16
14/01/2015,7.67,7.4,7.18
15/01/2015,7.63,7.36,7.16
16/01/2015,7.6,7.33,7.13
19/01/2015,7.62,7.33,7.07
20/01/2015,7.63,7.29,6.96
21/01/2015,7.28,7.1,6.85
22/01/2015,7.18,7.05,6.79
23/01/2015,7.12,6.93,6.74
26/01/2015,7.13,6.93,6.59
27/01/2015,7.14,6.95,6.64
28/01/2015,7.09,6.87,6.58
29/01/2015,7.09,6.91,6.45
30/01/2015,7.04,6.88,6.46
01/02/2015,7.04,6.88,6.46
02/02/2015,6.98,6.84,6.41
03/02/2015,6.93,6.82,6.52
04/02/2015,6.93,6.83,6.51
05/02/2015,7.03,6.9,6.53
06/02/2015,7.04,6.89,6.53
09/02/2015,7.05,6.89,6.55
10/02/2015,7.09,6.96,6.55
11/02/2015,7.22,7.05,6.57
12/02/2015,7.39,7.07,6.57
13/02/2015,7.42,7.18,6.69
16/02/2015,7.39,7.15,6.72
17/02/2015,7.17,7.06,6.65
18/02/2015,7.01,6.85,6.48
19/02/2015,7.01,6.85,6.48
20/02/2015,7.09,6.91,6.55
23/02/2015,7.06,6.85,6.54
24/02/2015,7.04,6.81,6.5
25/02/2015,7.01,6.77,6.49
26/02/2015,6.94,6.73,6.5
27/02/2015,6.9,6.76,6.6
02/03/2015,6.92,6.72,6.53
03/03/2015,6.96,6.77,6.48
04/03/2015,7.15,6.85,6.53
05/03/2015,7.31,6.91,6.33
06/03/2015,7.33,6.9,6.49
09/03/2015,7.4,7.03,6.54
10/03/2015,7.5,7.21,6.66
11/03/2015,7.64,7.4,6.71
12/03/2015,7.61,7.31,6.75
13/03/2015,7.42,7.27,6.75
16/03/2015,7.39,7.24,6.82
17/03/2015,7.45,7.27,6.78
18/03/2015,7.42,7.21,6.77
19/03/2015,7.36,7.17,6.61
20/03/2015,7.35,7.14,6.62
23/03/2015,7.41,7.16,6.58
24/03/2015,7.26,7.07,6.56
25/03/2015,7.24,7.05,6.6
26/03/2015,7.29,7.08,6.58
27/03/2015,7.3,7.08,6.55
30/03/2015,7.39,7.14,6.63
31/03/2015,7.41,7.19,6.62
01/04/2015,7.44,7.19,6.74
02/04/2015,7.39,7.21,6.69
06/04/2015,7.39,7.19,6.68
07/04/2015,7.31,7.21,6.69
08/04/2015,7.32,7.22,6.67
09/04/2015,7.26,7.19,6.63
10/04/2015,7.23,7.18,6.63
13/04/2015,7.24,7.18,6.62
14/04/2015,7.27,7.22,6.65
15/04/2015,7.36,7.3,6.58
16/04/2015,7.42,7.32,6.57
17/04/2015,7.54,7.46,6.57
20/04/2015,7.52,7.44,6.78
21/04/2015,7.53,7.47,6.79
22/04/2015,7.48,7.46,6.78
23/04/2015,7.54,7.52,7.07
24/04/2015,7.52,7.48,6.84
27/04/2015,7.6,7.53,7.01
28/04/2015,7.74,7.67,7.05
29/04/2015,7.76,7.69,6.97
30/04/2015,7.69,7.62,7
04/05/2015,7.73,7.67,7.19
05/05/2015,7.83,7.72,7.19
06/05/2015,7.96,7.77,7.34
07/05/2015,8.04,7.87,7.31
08/05/2015,8.2,7.91,7.49
11/05/2015,8.12,7.9,7.5
12/05/2015,8.25,7.93,7.58
13/05/2015,8.09,7.83,7.34
15/05/2015,8.09,7.71,7.34
18/05/2015,7.97,7.68,7.33
19/05/2015,7.99,7.75,7.26
20/05/2015,8.04,7.87,7.25
21/05/2015,8.09,7.83,7.23
22/05/2015,8.09,7.86,7.22
25/05/2015,8.09,7.86,7.22
26/05/2015,8.17,7.95,7.33
27/05/2015,8.16,7.94,7.33
28/05/2015,8.13,7.95,7.21
29/05/2015,8.17,8,7.37
30/05/2015,8.17,8,7.37
01/06/2015,8.18,8.03,7.28
03/06/2015,8.2,8.02,7.28
04/06/2015,8.41,8.18,7.42
05/06/2015,8.45,8.14,7.34
07/06/2015,8.49,8.18,7.39
08/06/2015,8.52,8.28,7.62
09/06/2015,8.54,8.33,7.61
10/06/2015,8.64,8.48,7.4
11/06/2015,8.72,8.52,7.49
12/06/2015,8.67,8.48,7.48
15/06/2015,8.68,8.53,7.37
16/06/2015,8.66,8.56,7.37
17/06/2015,8.62,8.52,7.39
18/06/2015,8.51,8.37,7.3
19/06/2015,8.47,8.31,7.35
22/06/2015,8.43,8.22,7.31
23/06/2015,8.35,8.22,7.24
24/06/2015,8.19,8.02,7.23
25/06/2015,8.24,8.14,7.2
26/06/2015,8.31,8.15,7.19
29/06/2015,8.36,8.21,7.38
30/06/2015,8.38,8.16,7.37
01/07/2015,8.28,8.07,7.26
02/07/2015,8.29,8.04,7.1
03/07/2015,8.27,7.97,7.03
06/07/2015,8.26,7.96,7.02
07/07/2015,8.27,7.95,6.97
08/07/2015,8.39,8.07,6.96
